Beat,Neighborhood
N1,Bitterlake
N2,Northgate
N3,Northgate
L1,Lakecity
L2,Lakecity
L3,Lakecity
U1,Roosevelt/Ravenna
U2,University
U3,Sandpoint
J1,Greenwood
J2,Ballard North
J3,Green Lake
B1,Ballard South
B2,Fremont
B3,Wallingford
Q1,Magnolia
Q2,Queen Anne
Q3,Lower Queen Anne
D1,Belltown
D2,SLU - West / Denny Park
D3,SLU / East Lake - West
M1,Waterfront Park /Piers
M2,Midtown
M3,Central Business District
K1,South Business District
K2,Stadium District
K3,International District
C1,Eastlake - East
C2,Montlake / Madison Park / Miller Park
C3,Central Area / Squire Park
E1,Capitol Hill
E2,Capitol Hill
E3,First Hill
G1,First Hill
G2,Madrona / Leschi
G3,Judkins Park
O1,SODO
O2,SODO
O3,Georgetown
R1,North Beacon Hill
R2,Mount Baker
R3,Seward Park / Columbia City
S1,South Beacon Hill
S2,Brighton / Dunlap
S3,Rainier Beach / View
W1,Alki 
W2,Alaska Junction
W3,Morgan / Fauntleroy SW
F1,North Delridge
F2,South Delridge
F3,Highland Park
